Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total Local,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total Foreign,Total All,persentase_lokal,persentase_asing
2021-09-30,AALI,EQUITY,1924688333,9775,98046648.0,12823145.0,24024315,49700,112262713,36889908,980541,3571898,4958427,293607295.0,1722373,4502836,7364706,17082815,1966864,32411811,26161535,208822,5760536,97182298,390789593.0,75.13181012473892,24.868189875261084
2021-09-30,ABBA,EQUITY,2755125000,535,42084400.0,1724088365.0,1390500,0,485142947,3164800,151243,0,1000,2256023255.0,0,20400,0,37158500,3684300,0,1900,0,0,40865100,2296888355.0,98.2208495284047,1.7791504715952988
2021-09-30,ABDA,EQUITY,620806680,6950,21885.0,47540882.0,0,98,47918272,0,7500,738684,0,96227321.0,0,426136555,0,97403500,400,0,0,0,62,523540517,619767838.0,15.526349561882235,84.47365043811776
2021-09-30,ABMM,EQUITY,2753165000,1200,2277000.0,7030500.0,1600,0,66518400,1556000,0,0,0,77383500.0,0,57406700,0,7628100,411600,10351700,0,0,452514400,528312500,605696000.0,12.775963519653423,87.22403648034657
2021-09-30,ACES,EQUITY,17150000000,1270,278775522.0,103996100.0,19573511,0,318630511,274442066,221001,4731800,243700,1000614211.0,20220800,602545467,1243693406,464664725,955700,2218346946,176680654,917900,1136360191,5864385789,6865000000.0,14.575589380917698,85.4244106190823
2021-09-30,ACST,EQUITY,12675160000,254,0.0,11193711535.0,11525238,0,1367388797,33050000,1068,6000,100,12605682738.0,0,150120,0,12129204,6213935,0,7894543,0,43089460,69477262,12675160000.0,99.45186284039018,0.5481371596098196
2021-09-30,ADES,EQUITY,589896800,2680,10000.0,368400.0,58500,350,38733577,40000,411,25000,0,39236238.0,0,540501713,0,8780364,106000,0,250000,0,57,549638134,588874372.0,6.662921646045075,93.33707835395492
2021-09-30,ADHI,EQUITY,3560849376,965,166792037.0,70810966.0,113261284,0,1068378345,134866974,22549653,19978851,1266800,1597904910.0,0,10123465,44080098,14955479,3749271,31427443,36490043,0,6062043,146887842,1744792752.0,91.58135876988099,8.418641230119002
2021-09-30,ADMF,EQUITY,1000000000,7700,4366800.0,1086700.0,0,920700000,36441800,13789700,75,0,0,976385075.0,0,294531,249365,13275617,474400,785566,4224831,28500,4182115,23514925,999900000.0,97.64827232723272,2.351727672767277
2021-09-30,ADMG,EQUITY,3889179559,214,1030000.0,994202200.0,2595200,0,498154487,83,450327,0,0,1496432297.0,0,1644400,0,8758247,2401900,0,5257896,0,43,18062486,1514494783.0,98.80735898183679,1.1926410181632168
